t,time,c:c,dayCosFactor:c,daySinFactor:c,temperature:c,weekCosFactorT:c,weekSinFactorT:c
1576908900000,2019-12-21T07:15+01:00[Europe/Vienna],158837.5,-0.065403129218625,0.997858923239358,6.0475,-0.442288690217755,0.896872741533303
1576909800000,2019-12-21T07:30+01:00[Europe/Vienna],162222.5,-0.130526192210906,0.991444861375014,6.035,-0.450654975799001,0.892698209244088
1576910700000,2019-12-21T07:45+01:00[Europe/Vienna],168665,-0.195090321995082,0.980785280407417,6.0225,-0.458981864465276,0.888445635980041
1576911600000,2019-12-21T08:00+01:00[Europe/Vienna],172910,-0.258819045098089,0.965925826290256,6.01,-0.467268628272712,0.884115393504795
1576912500000,2019-12-21T08:15+01:00[Europe/Vienna],172052.5,-0.321439465301013,0.946930129495835,6.0775,-0.475514542775519,0.879707860376949
1576913400000,2019-12-21T08:30+01:00[Europe/Vienna],179845,-0.382683432351691,0.923879532516837,6.145,-0.483718887103881,0.875223421909504
1576914300000,2019-12-21T08:45+01:00[Europe/Vienna],184410,-0.442288690221125,0.896872741531641,6.2125,-0.491880944026864,0.870662470135954
1576915200000,2019-12-21T09:00+01:00[Europe/Vienna],185860,-0.499999999991456,0.866025403789371,6.28,-0.49999999999923,0.866025403784883
1576916100000,2019-12-21T09:15+01:00[Europe/Vienna],191837.5,-0.555570233025427,0.831469612298653,6.45,-0.508075345246049,0.861312628232693
1576917000000,2019-12-21T09:30+01:00[Europe/Vienna],191322.5,-0.608761429004572,0.793353340294418,6.62,-0.516106273805754,0.856524555478907
1576917900000,2019-12-21T09:45+01:00[Europe/Vienna],187090,-0.659345815097881,0.751839807480896,6.79,-0.524092083607566,0.851661604100995
1576918800000,2019-12-21T10:00+01:00[Europe/Vienna],194595,-0.707106781175839,0.707106781197256,6.96,-0.532032076514165,0.84672419922902
1576919700000,2019-12-21T10:15+01:00[Europe/Vienna],196075,-0.751839807480116,0.65934581509877,7.17,-0.53992555840447,0.841712772495238
1576920600000,2019-12-21T10:30+01:00[Europe/Vienna],196407.5,-0.793353340293698,0.608761429005511,7.38,-0.54777183921879,0.836627762005818
1576921500000,2019-12-21T10:45+01:00[Europe/Vienna],198312.5,-0.831469612297996,0.55557023302641,7.59,-0.555570233019278,0.831469612302762
1576922400000,2019-12-21T11:00+01:00[Europe/Vienna],201355,-0.86602540378878,0.499999999992481,7.8,-0.563320058063573,0.826238774316028
1576923300000,2019-12-21T11:15+01:00[Europe/Vienna],201770,-0.896872741531118,0.442288690222186,7.9725,-0.571020636847685,0.820935705335116
1576924200000,2019-12-21T11:30+01:00[Europe/Vienna],203692.5,-0.923879532510815,0.382683432366228,8.145,-0.578671296180298,0.815560868958911
1576925100000,2019-12-21T11:45+01:00[Europe/Vienna],203507.5,-0.946930129490777,0.321439465315913,8.3175,-0.586271367223693,0.810114735067609
1576926000000,2019-12-21T12:00+01:00[Europe/Vienna],201535,-0.96592582628995,0.258819045099232,8.49,-0.593820185573057,0.804597779766997
1576926900000,2019-12-21T12:15+01:00[Europe/Vienna],200367.5,-0.980785280401508,0.195090322024787,8.5625,-0.601317091296775,0.799010485359476
1576927800000,2019-12-21T12:30+01:00[Europe/Vienna],194562.5,-0.991444861372961,0.130526192226506,8.635,-0.608761429008807,0.793353340291169
1576928700000,2019-12-21T12:45+01:00[Europe/Vienna],193432.5,-0.997858923237378,0.065403129248847,8.7075,-0.616152547908532,0.787626839122325
1576929600000,2019-12-21T13:00+01:00[Europe/Vienna],191205,-1,1.87329451172442E-12,8.78,-0.623489801857915,0.781831482468683
1576930500000,2019-12-21T13:15+01:00[Europe/Vienna],187910,-0.997858923238574,-0.065403129230587,8.7725,-0.630772549423514,0.775967776968709
1576931400000,2019-12-21T13:30+01:00[Europe/Vienna],185495,-0.991444861375349,-0.130526192208364,8.765,-0.638000153932712,0.770036235239508
1576932300000,2019-12-21T13:45+01:00[Europe/Vienna],184230,-0.980785280402239,-0.195090322021113,8.7575,-0.645171983542047,0.764037375821642
1576933200000,2019-12-21T14:00+01:00[Europe/Vienna],182300,-0.965925826290919,-0.258819045095613,8.75,-0.652287411276953,0.757971723146458
1576934100000,2019-12-21T14:15+01:00[Europe/Vienna],184490,-0.946930129496659,-0.321439465298585,8.7,-0.659345815100527,0.751839807478576
1576935000000,2019-12-21T14:30+01:00[Europe/Vienna],179497.5,-0.923879532517818,-0.382683432349323,8.65,-0.666346577951349,0.745642164883751
1576935900000,2019-12-21T14:45+01:00[Europe/Vienna],179482.5,-0.896872741532775,-0.442288690218826,8.6,-0.673289087816652,0.739379337165315
1576936800000,2019-12-21T15:00+01:00[Europe/Vienna],175577.5,-0.866025403790653,-0.499999999989236,8.55,-0.680172737769427,0.733051871831211
1576937700000,2019-12-21T15:15+01:00[Europe/Vienna],177185,-0.831469612308162,-0.555570233011196,8.49,-0.686996926034985,0.726660322033948
1576938600000,2019-12-21T15:30+01:00[Europe/Vienna],176097.5,-0.793353340304837,-0.608761428990994,8.43,-0.693761056027553,0.720205246537079
1576939500000,2019-12-21T15:45+01:00[Europe/Vienna],175737.5,-0.751839807482586,-0.659345815095954,8.37,-0.700464536421015,0.713687209648942
1576940400000,2019-12-21T16:00+01:00[Europe/Vienna],175315,-0.707106781178489,-0.707106781194606,8.31,-0.707106781187331,0.707106781185764
1576941300000,2019-12-21T16:15+01:00[Europe/Vienna],177415,-0.659345815100698,-0.751839807478426,8.245,-0.713687209647946,0.700464536422029
1576942200000,2019-12-21T16:30+01:00[Europe/Vienna],174500,-0.608761429007545,-0.793353340292137,8.18,-0.720205246536093,0.693761056028576
1576943100000,2019-12-21T16:45+01:00[Europe/Vienna],180987.5,-0.555570233028542,-0.831469612296572,8.115,-0.726660322032972,0.686996926036018
1576944000000,2019-12-21T17:00+01:00[Europe/Vienna],183770,-0.499999999994701,-0.866025403787498,8.05,-0.733051871830244,0.680172737770469
1576944900000,2019-12-21T17:15+01:00[Europe/Vienna],180660,-0.442288690224485,-0.896872741529984,7.9775,-0.739379337164358,0.673289087817703
1576945800000,2019-12-21T17:30+01:00[Europe/Vienna],184425,-0.382683432368597,-0.923879532509834,7.905,-0.745642164882804,0.666346577952408
1576946700000,2019-12-21T17:45+01:00[Europe/Vienna],184865,-0.32143946531834,-0.946930129489953,7.8325,-0.751839807477639,0.659345815101595
1576947600000,2019-12-21T18:00+01:00[Europe/Vienna],184520,-0.258819045101708,-0.965925826289286,7.76,-0.757971723145531,0.65228741127803
1576948500000,2019-12-21T18:15+01:00[Europe/Vienna],181517.5,-0.195090322013029,-0.980785280403847,7.6825,-0.764037375821899,0.645171983541743
1576949400000,2019-12-21T18:30+01:00[Europe/Vienna],177070,-0.130526192229048,-0.991444861372626,7.605,-0.770036235238602,0.638000153933807
1576950300000,2019-12-21T18:45+01:00[Europe/Vienna],170487.5,-0.065403129222363,-0.997858923239113,7.5275,-0.775967776970107,0.630772549421794
1576951200000,2019-12-21T19:00+01:00[Europe/Vienna],166735,-4.43663866331894E-12,-1,7.45,-0.781831482467797,0.623489801859026
1576952100000,2019-12-21T19:15+01:00[Europe/Vienna],165622.5,0.06540312922803,-0.997858923238742,7.3775,-0.787626839121449,0.616152547909651
1576953000000,2019-12-21T19:30+01:00[Europe/Vienna],161907.5,0.130526192205823,-0.991444861375684,7.305,-0.793353340290303,0.608761429009935
1576953900000,2019-12-21T19:45+01:00[Europe/Vienna],161557.5,0.195090322018599,-0.980785280402739,7.2325,-0.799010485358622,0.601317091297911
1576954800000,2019-12-21T20:00+01:00[Europe/Vienna],156437.5,0.258819045093137,-0.965925826291583,7.16,-0.804597779765073,0.593820185575664
1576955700000,2019-12-21T20:15+01:00[Europe/Vienna],155025,0.321439465296158,-0.946930129497483,7.105,-0.810114735066776,0.586271367224844
1576956600000,2019-12-21T20:30+01:00[Europe/Vienna],152582.5,0.382683432346955,-0.923879532518799,7.05,-0.815560868958088,0.578671296181457
1576957500000,2019-12-21T20:45+01:00[Europe/Vienna],152830,0.442288690216527,-0.896872741533909,6.995,-0.820935705334304,0.571020636848852
1576958400000,2019-12-21T21:00+01:00[Europe/Vienna],152245,0.499999999999619,-0.866025403784659,6.94,-0.826238774316252,0.563320058063245
1576959300000,2019-12-21T21:15+01:00[Europe/Vienna],152485,0.555570233009064,-0.831469612309586,6.9175,-0.831469612301972,0.555570233020459
1576960200000,2019-12-21T21:30+01:00[Europe/Vienna],144455,0.60876142901205,-0.79335334028868,6.895,-0.836627762007033,0.547771839216935
1576961100000,2019-12-21T21:45+01:00[Europe/Vienna],146055,0.659345815094026,-0.751839807484276,6.8725,-0.841712772493489,0.539925558407198
1576962000000,2019-12-21T22:00+01:00[Europe/Vienna],145142.5,0.707106781182504,-0.707106781190591,6.85,-0.846724199228264,0.532032076515368
1576962900000,2019-12-21T22:15+01:00[Europe/Vienna],146702.5,0.751839807467141,-0.659345815113566,6.8525,-0.85166160410025,0.524092083608777
1576963800000,2019-12-21T22:30+01:00[Europe/Vienna],151605,0.793353340290577,-0.608761429009579,6.855,-0.856524555478174,0.516106273806971
1576964700000,2019-12-21T22:45+01:00[Europe/Vienna],149165,0.831469612295148,-0.555570233030673,6.8575,-0.861312628231046,0.508075345248839
1576965600000,2019-12-21T23:00+01:00[Europe/Vienna],140057.5,0.866025403786217,-0.499999999996921,6.86,-0.866025403784173,0.50000000000046
1576966500000,2019-12-21T23:15+01:00[Europe/Vienna],146085,0.89687274152885,-0.442288690226784,6.8875,-0.870662470135255,0.491880944028101
1576967400000,2019-12-21T23:30+01:00[Europe/Vienna],141935,0.923879532508853,-0.382683432370965,6.915,-0.875223421908817,0.483718887105125
1576968300000,2019-12-21T23:45+01:00[Europe/Vienna],138600,0.946930129498484,-0.321439465293208,6.9425,-0.879707860377138,0.475514542775169
1576969200000,2019-12-22T00:00+01:00[Europe/Vienna],135255,0.965925826288622,-0.258819045104184,6.97,-0.884115393504131,0.467268628273969
1576970100000,2019-12-22T00:15+01:00[Europe/Vienna],143990,0.980785280403347,-0.195090322015543,7.015,-0.888445635979389,0.458981864466538
