Time, trainValue,dayCosFactor,daySinFactor,temperature,weekCosFactor,weekSinFactor,yearCosFactor,yearSinFactor
2024-01-02T04:30+02:00[Asia/Jerusalem],3126368.333,0.793353340291845,0.608761429007927,12.29375,-0.130526192219678,-0.991444861373859,0.970670515654571,0.240413706012968
2024-01-02T05:00+02:00[Asia/Jerusalem],3267889.167,0.707106781183976,0.707106781189119,12.54375,-0.111964476102275,-0.993712209893359,0.970584233836344,0.240761801431033
2024-01-02T05:30+02:00[Asia/Jerusalem],3421514.167,0.608761429013702,0.793353340287413,12.6,-0.0933636084548786,-0.995632078940953,0.97049782718644,0.24110986588358
2024-01-02T06:00+02:00[Asia/Jerusalem],3577696.667,0.500000000001422,0.866025403783618,12.55,-0.0747300935876947,-0.997203797181085,0.970411295715999,0.241457899325734
2024-01-02T06:30+02:00[Asia/Jerusalem],3657170.833,0.382683432375767,0.923879532506864,12.45,-0.0560704472378024,-0.998426815017782,0.970324639436122,0.241805901712842
2024-01-02T07:00+02:00[Asia/Jerusalem],3889375.833,0.258819045109205,0.965925826287277,12.56875,-0.0373911942762748,-0.999300704788401,0.970237858357982,0.242153873000035
2024-01-02T07:30+02:00[Asia/Jerusalem],4126520.833,0.130526192236742,0.991444861371613,13.15625,-0.0186988664338264,-0.999825160912692,0.970150952492713,0.24250181314267
2024-01-02T08:00+02:00[Asia/Jerusalem],4166682.5,1.21975997386093E-11,1,13.84375,-2.26222550652871E-12,-1,0.97006392185152,0.242849722095885
2024-01-02T08:30+02:00[Asia/Jerusalem],4291660,-0.130526192198128,0.991444861376697,14.45,0.0186988664293028,-0.999825160912776,0.969976766445569,0.243197599815046
2024-01-02T09:00+02:00[Asia/Jerusalem],4380612.5,-0.258819045113753,0.965925826286059,15.05625,0.0373911942753889,-0.999300704788434,0.969889486286082,0.243545446255354
2024-01-02T09:30+02:00[Asia/Jerusalem],4451117.5,-0.382683432366673,0.923879532510631,15.79375,0.0560704472369173,-0.998426815017832,0.969802081384287,0.243893261372071
2024-01-02T10:00+02:00[Asia/Jerusalem],4437260,-0.5000000000055,0.866025403781263,16.50625,0.0747300935868107,-0.997203797181151,0.969714551751437,0.244241045120408
2024-01-02T10:30+02:00[Asia/Jerusalem],4444302.5,-0.608761429005893,0.793353340293405,17.24375,0.093363608453996,-0.995632078941036,0.969626897398764,0.244588797455744
2024-01-02T11:00+02:00[Asia/Jerusalem],4327051.667,-0.707106781187306,0.707106781185789,17.79375,0.111964476101394,-0.993712209893458,0.969539118337554,0.2449365183333
2024-01-02T11:30+02:00[Asia/Jerusalem],4303561.667,-0.793353340285852,0.608761429015736,18.19375,0.130526192218799,-0.991444861373975,0.969451214579111,0.245284207708297
2024-01-02T12:00+02:00[Asia/Jerusalem],4273585.833,-0.866025403782336,0.500000000003642,18.45,0.14904226617558,-0.988830826225218,0.969363186134713,0.245631865536127
2024-01-02T12:30+02:00[Asia/Jerusalem],4275454.167,-0.923879532505883,0.382683432378135,18.6,0.167506223304797,-0.985871018518226,0.96927503301571,0.245979491771967
