Time, trainValue,c_shift7~ConsumptionReferenceConfiguration~7~0~1.0~false,dayCos~DayCosFactorReferenceConfiguration~0~0~1.0~false,daySin~DaySinFactorReferenceConfiguration~0~0~1.0~false,temp_shift_7~ApparentTemReferenceConfiguration~7~0~1.0~false~telaviv,temperature~ApparentTemReferenceConfiguration~0~0~1.0~false~telaviv,weekCos~WeekCosFactorReferenceConfiguration~0~0~1.0~false,weekSin~WeekSinFactorReferenceConfiguration~0~0~1.0~false,yearCos~YearCosFactorReferenceConfiguration~0~0~1.0~false,yearSin~YearSinFactorReferenceConfiguration~0~0~1.0~false
2024-12-29T05:30+02:00[Asia/Jerusalem],3733142.5,3763961.667,0.608761429014483,0.793353340286814,12.8499999046326,11.8000001907349,-0.949894146672197,0.312571767947617,0.981649986332334,0.19069164725737
2024-12-29T06:00+02:00[Asia/Jerusalem],3952630,4034263.333,0.500000000014876,0.86602540377585,12.8000001907349,11.8499999046326,-0.955572805785724,0.294755174412256,0.981581535594695,0.191043683432772
2024-12-29T06:30+02:00[Asia/Jerusalem],4133442.5,4283135,0.382683432376676,0.923879532506488,12.8062501549721,11.8999996185303,-0.960917321944891,0.276835511425572,0.981512958610974,0.191395695037095
2024-12-29T07:00+02:00[Asia/Jerusalem],4412471.667,4579010.833,0.258819045096099,0.965925826290789,13.0624997615814,12.0124999880791,-0.965925826289045,0.258819045102607,0.981444255389991,0.191747682025067
2024-12-29T07:30+02:00[Asia/Jerusalem],4668165.833,4692366.667,0.13052619222329,0.991444861373384,13.706249833107,12.4562502503395,-0.970596567453529,0.240712075408417,0.981375425940582,0.192099644351416
2024-12-29T08:00+02:00[Asia/Jerusalem],4895504.167,4739640.833,-1.37036721E-12,1,14.5562501549721,13.1062499284744,-0.974927912182099,0.22252093395511,0.981306470271612,0.192451581970819
2024-12-29T08:30+02:00[Asia/Jerusalem],5079698.333,4847792.5,-0.13052619221158,0.991444861374926,15.5999999046326,13.9000000953674,-0.978918345897293,0.204251981791384,0.981237388391925,0.192803494838122
2024-12-29T09:00+02:00[Asia/Jerusalem],5303570,4946387.5,-0.258819045098746,0.96592582629008,16.5937495231628,14.6999998688698,-0.982566473233088,0.185911607163974,0.981168180310431,0.193155382907954
2024-12-29T09:30+02:00[Asia/Jerusalem],5401541.667,4959955.833,-0.382683432365764,0.923879532511008,17.4000004529953,15.5,-0.985871018518166,0.167506223305146,0.981098846036007,0.193507246135167
2024-12-29T10:00+02:00[Asia/Jerusalem],5376191.667,4956626.667,-0.499999999992045,0.866025403789031,18.1374996900558,16.2437500357628,-0.988830826225165,0.14904226617593,0.981029385577593,0.193859084474396
